@relation kin8nm

@attribute theta1 numeric
@attribute theta2 numeric
@attribute theta3 numeric
@attribute theta4 numeric
@attribute theta5 numeric
@attribute theta6 numeric
@attribute theta7 numeric
@attribute theta8 numeric
@attribute binaryClass {P,N}

@data
-0.015119,0.360741,0.469398,1.309675,0.988024,-0.025493,0.664071,0.062763,P
0.360478,-0.301395,0.629183,-1.440146,-0.741637,-1.19675,-1.038444,-0.717461,P
1.563238,-1.294753,0.078987,1.432937,1.149136,-1.29214,1.562988,-0.937731,P
0.199485,0.901157,-1.356304,-0.080525,-0.976628,0.829894,-0.855649,0.93063,P
0.659737,0.120552,-0.008756,0.648839,0.626832,-0.646539,1.318074,-0.899172,P
1.513666,-0.217212,0.489076,0.567051,1.400312,0.381721,1.495981,-1.328102,P
-0.429169,-0.15432,1.491638,-1.160776,1.364949,0.459879,0.780131,-0.400001,P
0.045435,1.29727,0.041724,0.129436,0.789137,0.861351,-1.341428,0.198877,N
0.22619,0.568026,0.673885,1.456617,-0.774448,0.265812,-1.302624,-0.135698,P
0.25574,-0.486466,0.536425,-1.074451,-0.522539,0.152086,0.556052,0.119002,N
0.525766,1.525559,-0.673587,-0.419596,-1.556518,-1.150017,-0.674097,-1.11995,P
-0.754095,1.537452,1.317868,0.723931,-0.360115,-1.249486,-0.960256,1.430919,P
-0.896791,0.355129,1.18621,-0.285483,1.394286,1.438589,-0.665348,0.57069,P
0.993476,-0.37127,0.08145,-0.907315,0.629037,0.669361,1.561788,0.306194,P
-0.21854,-0.736226,-0.808259,0.044664,0.773532,-0.096278,0.968042,0.266061,N
-0.483047,0.984921,-0.160085,-0.168689,0.847947,-0.219186,-0.426599,1.207121,N
-0.702027,0.509753,-1.337229,-1.439567,1.186018,1.235668,-0.732908,-0.319714,N
0.848907,0.300834,0.146163,-1.39818,0.004078,-1.194475,0.201422,-1.302239,P
-1.53594,1.290045,-0.165016,-0.103766,-0.579625,-0.7599,-1.337705,0.748906,P
-0.071352,-1.493876,0.597458,-0.417709,0.314982,-1.070052,-1.563357,-1.497134,P
0.883739,0.027982,0.948926,1.018764,0.311254,1.256054,0.945598,-1.318985,P
-0.448479,-0.947515,-1.266224,0.690727,0.502036,-1.011948,-0.659533,-1.110677,N
-0.906623,-0.147232,-0.280896,0.861267,-0.594391,0.76346,-1.22391,0.18785,N
-0.892939,1.038479,0.790828,-1.136277,0.342503,1.215726,0.902412,-0.099826,P
-0.229189,-0.96955,-0.639157,0.333139,1.047156,-0.205844,-0.775683,-0.17067,N
-0.379028,0.214936,-1.200414,0.755365,0.350276,-0.727948,0.700928,-0.174408,N
0.825264,-0.406834,-0.044819,0.246626,-0.261847,-1.263599,-0.475279,-0.174522,N
0.084224,-1.560119,0.708285,1.276127,0.501848,-0.146093,1.064275,1.055755,P
-1.304246,-1.188406,0.655721,0.205661,-0.612237,1.337558,-0.965771,0.359895,N
1.567413,0.70972,0.001956,0.785757,-1.147362,-0.894091,0.903567,1.191393,P
1.248753,-0.366011,1.462471,-1.037506,-0.612537,-0.753487,-0.214971,-0.777303,P
-1.184512,-0.308474,-0.080025,-1.521214,0.088575,-0.096783,-0.186186,-1.38667,N
0.174933,-0.902822,-0.371004,-0.762163,-0.441673,0.710619,-0.198897,-1.422196,N
-0.423772,0.167747,0.595441,-1.406971,0.387231,-0.964756,-0.208868,1.530002,P
-0.350737,1.312963,-1.541083,-0.186062,-1.19701,-0.898016,-1.283161,0.81488,N
-1.201234,0.428587,1.44811,-1.253646,0.620561,-0.748999,0.953492,1.489053,P
-1.265978,-0.403832,0.467657,0.638635,-0.326192,-0.061059,0.067781,0.587545,N
0.712868,-1.356382,-0.360638,-1.277753,-0.233236,1.080897,-1.199213,0.84674,P
-0.867539,-1.309054,-1.114983,0.733414,0.709861,-1.187991,1.283336,-0.25627,N
-0.592833,-0.69193,0.075754,-1.128301,-1.134539,1.40349,-1.155923,-0.011683,N
1.389322,0.902701,0.85387,-0.693606,1.265967,1.38504,0.017653,1.566704,P
-1.130467,0.94579,0.205567,1.006251,-0.892527,-0.832988,1.388385,-1.240818,P
0.596783,-0.568146,-0.792032,0.863632,0.406925,-1.099533,-1.167819,-0.531538,N
-0.974622,-1.526247,-0.75917,0.904982,-0.060899,-0.995931,1.141975,1.138154,N
-0.200379,-0.530734,-1.361403,-1.566148,0.632249,-0.208855,1.179714,-0.200803,N
0.022974,-1.071475,-0.880336,1.153275,1.349738,-1.074882,0.852897,-0.826065,N
-0.290947,-0.668658,1.086223,-0.540099,-0.391871,-1.381958,-0.439877,-0.977414,N
1.507402,-0.65306,0.348179,-1.384608,-1.397314,-0.772016,-0.851837,-0.00261,P
1.095062,0.73939,-0.939697,-1.321459,-1.258848,-0.491514,-0.586641,0.111844,P
1.262876,-1.212005,-0.705169,1.30771,1.174483,1.507231,-1.360758,1.09105,N
0.561684,-0.087909,1.456504,0.102922,0.916154,1.367616,0.543918,-0.201257,P
-0.267917,-0.941033,0.174759,-1.202476,0.849798,-1.506195,-0.412735,0.963015,P
-0.972566,-1.165831,-0.222939,-0.155785,0.86708,0.32972,-0.198467,-0.090846,N
-0.216308,-0.014287,0.977683,-1.330489,-0.834941,-0.162968,0.744544,-0.036647,P
-0.660519,-1.3607,1.391959,0.325255,0.637112,0.461888,0.590547,-0.176301,P
1.047757,1.502845,-0.791688,0.185066,1.385798,0.067899,1.032799,-0.572155,N
1.031085,-0.082003,-1.251981,0.222919,-0.658903,0.777775,0.956155,0.206804,N
0.412863,0.942469,0.346747,-1.317774,-0.061879,-0.102323,0.847902,1.149034,P
-0.792896,0.159564,0.125579,0.396595,-0.126911,-1.290566,0.418133,0.43648,N
0.430997,-1.121538,-0.541065,-0.882205,0.151828,-0.98402,-0.17393,0.292232,N
-0.740583,-0.138305,1.236346,1.099222,0.802884,-1.076953,-1.552946,1.230193,P
0.003886,0.287237,0.773281,-1.089507,0.937974,1.506604,-0.006309,1.037362,N
-0.663316,-1.028187,-0.23942,0.994508,0.013124,0.251195,0.77121,-0.897239,P
1.155561,1.169364,0.443079,1.417156,0.661242,-0.468714,-0.485518,-0.242887,N
0.187634,-0.307024,1.247499,-1.414675,-1.456857,1.437561,-1.381074,-1.265588,P
-0.592354,1.477196,-0.282401,-0.860886,0.179995,-0.905826,1.523828,0.989442,N
0.009103,-0.766804,0.631339,1.269433,-0.180446,-0.061586,0.713988,1.093405,P
-0.94299,-0.864103,-1.391897,0.811247,-1.116155,-1.490701,-0.886988,-1.4664,N
0.507992,0.604246,-1.319772,0.111999,-0.771523,-0.008035,-0.743711,0.013136,P
-1.022489,-1.201285,1.373591,0.556764,1.511897,0.040293,0.838891,0.864776,P
-0.464884,1.012503,1.52622,-1.264159,1.248559,-1.387606,-0.231238,1.275733,P
-0.15792,-0.86583,0.077296,-0.120264,-1.301076,-1.444279,-0.272692,-0.131472,N
0.480978,-0.142555,-1.504282,-1.234576,1.436415,1.085487,0.454586,-1.104727,P
0.481746,1.121751,1.066534,0.705262,-1.314933,0.553032,-0.121089,-0.339581,P
0.828804,0.569045,-0.684419,0.103287,1.020312,-1.159309,0.606318,0.937957,N
-0.117962,0.93269,1.480483,-1.350525,1.570598,-0.351401,-0.93869,-0.262057,P
-0.243439,-0.830152,1.069646,-0.260757,1.380446,0.203084,0.517707,0.124266,P
-1.127838,-0.556856,1.354561,-0.017238,0.492098,1.465801,-1.107064,-0.6236,P
0.804954,-0.266448,-1.01652,-0.698376,-1.116011,-0.661121,1.230567,-0.486891,P
1.170425,-1.420334,-0.669853,-0.616307,-1.484803,0.354729,1.027863,0.66489,N
-1.315226,1.415163,1.250859,-0.433773,-1.420559,-0.819463,-0.325398,0.168086,P
-0.749057,-0.353443,-0.352451,1.220196,0.772407,0.0242,0.555113,0.725934,N
-1.042116,0.443151,1.397681,-0.487837,0.781734,1.465321,-0.738863,-1.170744,P
-0.456236,-0.682926,1.140993,0.486481,0.464621,0.698666,0.63852,-0.904607,P
0.671955,1.450011,0.380574,-1.273122,-1.107213,-0.800051,-0.081603,-1.561487,P
-0.478053,1.002585,0.030585,0.02854,-1.281121,-0.441717,1.374459,0.948679,P
1.556131,-1.060464,-1.174858,-0.983941,0.678487,-0.362288,0.393759,0.858935,N
0.139354,-0.96127,-0.920227,0.248448,-0.658669,-0.5622,-1.425718,0.504608,N
-1.499242,1.152167,-0.192833,0.488752,0.72609,1.020668,-1.113988,-1.354416,N
0.948502,-0.302832,1.18077,-0.815381,1.446521,1.274067,1.09404,0.304075,P
