@relation mfeat

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute binaryClass {P,N}

@data
-10.297008,-11.666789,11.560669,-2.081316,4.044656,4.086815,-2.558072,-8.476935,2.138135,3.503082,-0.064074,0.983302,2.001344,1.478683,-0.402921,1.609768,-2.627923,2.741715,-2.283389,1.239708,-1.827247,-1.581615,2.027865,-0.394052,-1.446159,-0.603834,2.475224,-1.096591,1.311422,-0.346206,-0.822164,-1.012095,1.620569,0.262893,0.457352,1.365226,-1.121445,-0.071175,-0.914878,-1.440099,-2.192526,0.830108,0.452905,1.085592,1.960389,-0.877156,0.377651,-0.307988,-0.017944,0.442649,0.620422,-1.135986,0.088799,0.186969,1.078083,0.921927,0.496387,-0.643667,0.284104,0.286555,0.348625,1.814691,-1.351353,-0.47391,P
-5.036009,-12.885333,0.161155,0.59246,3.123534,4.220469,-6.411771,-6.335328,-0.244622,1.346073,-1.888005,-1.425509,3.546106,-2.728002,0.145671,0.144373,1.070799,1.676834,3.458105,2.141824,-0.00893,-1.899805,-0.201592,0.386368,0.325236,-0.857551,2.599812,0.646875,-0.884929,-0.789922,-1.011073,1.085249,-1.010811,-0.528006,-0.950611,0.866379,-1.174443,-0.12563,0.683759,-0.280212,-0.658064,-0.099992,3.127316,0.214157,-0.783071,-0.427827,-2.560559,-1.62772,-1.475449,0.087514,-0.669465,-1.378673,-1.568273,-1.133077,0.942353,2.938791,1.429883,-2.336344,1.281628,-0.098321,0.582357,0.485792,0.642451,0.613107,P
-9.639157,-6.655898,0.388687,-1.71765,0.300346,3.400769,-7.240785,-1.659405,-0.874005,4.153403,-4.732827,2.371873,-0.791784,2.60947,-2.203911,-4.435813,-0.762313,-0.394081,1.133503,2.644041,-3.87647,3.067372,-0.150997,-0.814162,1.290007,-0.885316,2.597499,-3.268025,-1.777111,-0.25931,-2.88796,0.803436,0.885987,1.164181,-2.672265,0.213014,2.502617,0.011691,-0.241381,-0.503143,-2.01774,0.623053,0.297995,0.453539,-0.523467,1.172609,-1.03433,-1.045539,-1.519977,1.578619,0.772292,-1.644673,0.555195,0.372116,-0.413174,-0.023028,-0.025265,1.259838,-0.44136,-0.960094,1.995843,1.097748,0.827182,-1.76784,P
-6.650375,-7.043851,4.10435,-2.34278,3.494658,3.924822,-9.874812,-6.556576,-1.364269,1.153308,-0.525791,1.306552,3.489466,3.987592,-1.356328,-0.857526,1.180557,-4.406371,-1.761988,2.742064,-1.601306,0.721423,2.888973,-0.984098,-0.900931,0.280389,0.000239,-2.231012,-1.077999,-1.499626,-2.01118,0.741876,-0.30312,0.149713,0.072599,-2.515244,0.593984,-1.342731,0.454232,-0.989877,0.38892,-0.539341,0.83395,-0.292633,0.001021,0.540339,0.858158,-0.7272,1.441517,-0.133205,-1.072086,-1.575707,0.276112,-0.553317,-0.961236,-1.043815,-0.204508,-1.98115,0.982438,-0.144233,-1.449328,-0.913552,-0.771735,0.304992,P
-10.664524,-10.974133,0.194391,0.453885,2.193088,-3.304663,-8.376592,-4.241146,2.964818,-0.949622,-1.493196,-1.32539,1.729491,-0.638025,-1.785161,1.266107,0.683632,3.106049,0.81262,1.709782,1.845162,-2.602056,-0.005624,-0.149866,0.549093,-1.272378,1.982501,1.106768,0.183949,0.06128,0.402014,0.81485,-3.796409,-1.317945,-1.210731,-1.223604,-1.281105,0.35283,0.26477,-1.295441,-1.482741,-0.56819,0.887338,2.180462,2.439588,1.228399,-2.084001,0.315359,-0.877886,0.848514,-0.654705,-0.406145,-0.335391,-0.722847,0.152957,1.44816,-1.254907,-3.481295,-0.563889,1.529335,0.510399,0.298318,-0.943213,1.149847,P
3.437618,-3.914502,-1.126803,4.037337,-2.513498,1.733343,-8.812785,-4.181726,8.662117,-2.783926,4.71745,6.021956,8.268522,1.538166,0.339721,4.251977,-1.585564,2.302103,1.989041,1.016005,0.148059,-0.637746,-4.054363,3.966781,-1.820351,3.762352,0.018495,1.508016,0.847587,-2.543335,-1.823698,2.134411,2.375419,2.566131,1.200783,-3.729888,2.008052,-0.781689,2.119131,-3.180233,1.268271,-0.079028,-1.463588,3.051154,0.434093,-0.637227,1.038626,0.7344,-0.524258,0.853772,0.68123,2.523129,0.289757,-0.324695,-0.561103,0.895975,0.52091,-2.052927,-0.572874,0.179898,-1.105315,-0.758766,1.420641,1.649785,P
-13.986871,-9.610897,9.996927,-3.326522,3.60004,-1.118082,-5.246668,-3.259963,2.397346,-1.800137,-0.035082,0.973724,1.770474,2.731737,-0.624779,1.525986,-2.017486,1.547837,-4.386229,1.78231,-0.581081,0.052645,2.106023,0.349896,0.53984,-1.181819,2.022347,-1.480345,1.206175,1.942241,-1.416257,0.844631,-1.841334,-0.911418,0.47257,-1.516604,0.43416,1.625441,-0.116553,-1.214388,-2.160127,1.325856,0.582432,-0.063609,0.655752,0.220229,0.368642,1.098514,0.139448,0.34232,0.130266,-0.194905,1.162437,0.865164,-1.108424,-1.601396,-1.015069,-1.257553,-0.289895,-0.094534,1.076284,-0.398156,1.522532,0.921088,P
-10.951489,-11.327592,4.453519,-2.6936,1.141457,-0.066174,-9.374738,-6.926078,0.115435,1.788652,-0.631468,-2.371571,1.513821,-0.058082,-1.352708,0.575439,-0.628876,0.134991,-0.947826,-0.03033,-2.00386,-1.882947,1.00914,-3.305839,-1.206468,-0.884082,2.930543,0.379941,-0.072785,-0.27648,-1.258808,-0.466807,-0.664119,0.868788,-0.228512,-0.11879,-1.843684,-0.058123,-0.30778,0.546519,-0.763261,0.177889,-0.502342,0.590625,0.153581,1.461506,-0.545009,-0.899357,-0.541096,0.104277,-1.367491,0.288569,1.888057,-0.081126,-0.09526,-0.650402,-0.216118,1.071904,0.805002,0.927228,0.315061,-0.062183,0.984969,0.253087,P
-13.141173,-13.002304,12.334438,-3.001888,2.884243,-0.151152,0.353718,-1.105504,3.598557,0.553618,-0.202969,-0.294338,2.405563,-0.541013,-0.344848,3.440016,-4.827402,2.114211,-2.328436,-1.674165,0.450997,-0.403595,1.975263,0.820063,-1.155833,-1.286892,2.954061,0.914333,0.667221,0.539066,-2.921171,0.634593,-0.727984,-0.884458,0.707186,-1.439867,0.868376,2.763168,-1.591675,-1.165532,-2.409878,-0.416044,-0.184375,-0.294522,-0.220351,0.16644,0.894403,-1.331423,-0.053678,1.119448,-0.025036,0.481968,-0.516563,0.295292,0.55566,-0.09457,0.708782,-0.0918,-0.276942,-0.634866,0.294718,1.020319,-0.566205,0.479066,P
-10.33485,-5.193978,8.168016,-0.392417,2.706182,3.762498,-4.164942,-0.976768,0.544748,0.950181,-3.485397,3.279461,1.772337,2.800835,-2.151565,-2.387306,0.996753,-0.302957,0.775094,3.909171,-3.113646,3.196581,0.023429,3.155759,2.318474,0.512069,3.292361,-3.11094,-1.663276,-1.610172,-1.442546,2.338759,-1.541687,1.88801,1.071121,0.376224,1.435069,-0.134191,0.373481,-2.378447,-1.606234,0.103961,1.384744,0.241018,0.280381,-0.693445,0.334714,-1.130144,1.414906,1.514246,0.732388,-1.285991,-0.111918,-0.994772,0.278781,-0.830145,-1.152461,1.622025,0.38443,-1.025907,-0.322276,0.541871,0.813516,0.045286,P
