@relation mfeat

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute binaryClass {P,N}

@data
0.011033,0.831466,15.351804,75.806559,171.554214,490.156556,206.416027,0.122135,2.601646,11.472709,20.043415,110.868301,99.025277,0.100592,4.465825,37.203673,71.682698,303.833008,444.818734,0.324292,2.808212,7.505539,14.199325,109.820532,0.623083,11.902597,13.992883,6.972559,484.784871,0.344746,6.836616,41.172862,67.583218,1.875599,2.280403,170.265764,158.81841,1.713529,33.81034,9.858915,1.399891,148.138058,326.239452,9.71107,20.007248,47.032578,539.208457,P
0.038271,1.166746,10.526913,42.369276,85.187116,420.360566,253.569575,0.033657,0.390566,11.70083,65.596013,97.69105,87.946417,0.136957,3.005241,22.837229,40.656873,186.411684,419.543064,0.054929,3.576323,38.546889,100.034785,85.145611,0.414205,8.006745,53.191399,91.367313,371.994407,0.531269,14.376516,74.169044,82.063449,1.348741,29.158736,211.200298,34.597257,2.590208,35.400531,70.681899,6.674412,155.135985,377.832675,8.140633,44.536711,46.338954,518.496567,P
0.042698,1.225007,8.273804,31.744786,54.448177,404.103204,389.980746,0.041733,0.937399,11.629045,33.481501,51.705886,17.760377,0.138112,2.376392,20.892105,68.666675,168.420731,518.229961,0.113119,3.380604,21.119272,52.675563,11.774172,0.328196,7.781216,71.369955,94.039942,402.482819,0.482565,8.101806,40.012973,14.869455,1.336517,35.772897,207.147093,10.924662,1.476285,19.47723,30.09359,7.858211,150.126419,419.565747,4.530921,26.29217,44.574822,549.912691,P
0.032418,1.638247,19.205283,51.196682,57.18176,429.052011,256.174645,0.073624,1.973268,13.057108,36.079443,49.978731,55.037174,0.190329,5.212415,25.128272,51.937089,178.923865,386.324218,0.245137,3.963072,20.036877,27.570634,80.054547,0.692839,8.22612,61.257439,112.6886,324.849754,0.583625,7.453045,23.667204,65.148691,1.326251,31.813,239.672998,21.054749,1.349613,14.179518,30.564085,7.097728,173.840759,441.350376,3.706023,13.432311,51.73993,574.887814,P
0.015866,0.611562,8.627839,37.325052,48.509025,459.909634,238.572767,0.046477,1.117292,10.012169,27.169266,67.849862,71.512437,0.076843,2.660718,24.901428,61.75037,216.615177,417.658858,0.144952,3.05575,12.775389,47.31223,66.377015,0.384703,9.695486,75.96332,86.050213,399.975218,0.452419,4.055963,23.946695,50.192029,1.721486,40.003794,222.227638,83.421886,0.667971,8.705403,30.242473,9.015714,167.021185,332.479997,1.806273,23.6893,50.40777,492.227513,P
0.22978,5.042077,40.442847,142.718378,120.5866,238.713474,193.363034,0.031558,0.754167,6.68936,20.087926,27.273738,58.455365,0.652346,13.046225,93.324245,226.663846,58.288896,194.704583,0.087589,1.842764,12.40729,12.568673,41.942019,1.961769,35.853147,197.378923,192.069988,129.513851,0.252242,4.592906,18.298133,90.172508,6.382364,96.349377,309.835456,120.751623,0.808418,10.570782,97.581195,21.335305,222.957245,451.432607,2.592809,64.448681,67.431997,555.304332,P
0.068383,0.929085,29.995907,120.285912,149.90677,556.821636,66.873006,0.049044,2.232918,14.963066,3.818094,15.193588,82.261748,0.113185,8.696983,64.39432,60.335791,357.537147,322.556252,0.292321,4.469912,5.927652,42.142809,29.305051,1.208892,21.796423,17.188437,27.75701,448.400796,0.651712,3.484489,47.040682,5.603168,3.563913,7.819361,194.891213,197.237818,0.787812,27.689348,6.637128,2.11044,172.713737,273.186742,7.144262,10.642549,55.283107,511.194536,P
0.029408,0.608213,3.954453,15.007775,107.223791,471.335713,247.380454,0.044699,1.318604,5.490533,22.61437,17.75729,21.512162,0.070617,0.91435,2.702571,27.185892,240.297649,508.826905,0.156483,1.736355,19.955005,30.846547,24.550581,0.106852,1.76255,49.846426,70.581004,532.067846,0.273774,8.938699,43.906065,12.386746,0.431665,29.776679,227.071648,186.391625,1.775261,26.604415,11.409401,7.062444,175.498979,301.078023,6.839167,15.515805,53.551123,512.603587,P
0.049459,2.7998,39.063424,120.850583,191.23956,563.061573,70.507455,0.055096,0.539381,4.846986,31.669641,50.314742,9.388965,0.34853,11.72815,66.930982,79.497056,408.665176,333.399644,0.066007,1.939936,21.325551,48.169415,24.314907,1.672488,23.234778,23.724742,59.644695,494.558917,0.335907,8.661564,31.346824,16.986693,3.871127,12.672581,179.931634,260.583171,1.645802,13.372635,11.609861,3.544209,176.333275,234.956563,2.851916,15.304698,58.374692,509.291575,P
0.029015,1.41469,27.85416,107.554523,151.137123,466.419164,115.831168,0.060311,1.259536,0.835792,14.8361,43.190844,46.991971,0.164024,7.615697,52.958599,50.383878,217.453076,322.265638,0.156555,0.315247,10.21792,28.788506,12.891301,1.015154,16.94578,9.998511,92.757184,361.441593,0.054859,4.237605,16.293617,28.169734,2.665973,8.471138,226.818862,82.956994,0.811676,8.170329,31.41857,2.458406,169.022917,328.08789,2.119944,19.089455,50.804047,496.225484,P
