S1_Temp,S2_Temp,S1_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2_Slope,S6_PIR,S7_PIR,target
24.94,24.75,121,40,0.08,0.19,0.06,0.06,0.769230769231,0,0,0
24.94,24.75,121,40,0.93,0.05,0.06,0.06,0.646153846154,0,0,0
25.0,24.75,121,40,0.43,0.11,0.08,0.06,0.519230769231,0,0,0
25.0,24.75,121,40,0.41,0.1,0.1,0.09,0.388461538462,0,0,0
25.0,24.75,121,40,0.18,0.06,0.06,0.06,0.253846153846,0,0,0
25.0,24.81,121,40,0.13,0.06,0.06,0.07,0.165384615385,0,0,0
25.0,24.75,120,40,1.39,0.32,0.43,0.06,0.0769230769231,1,0,0
25.0,24.81,121,41,0.09,0.06,0.09,0.05,-0.0115384615385,0,0,0
25.0,24.81,122,43,0.09,0.05,0.06,0.13,-0.1,0,0,0
25.0,24.81,101,43,3.84,0.64,0.48,0.39,-0.188461538462,1,1,0
25.06,24.81,122,43,2.2,0.31,0.33,0.21,-0.276923076923,1,1,0
25.06,24.81,123,44,0.42,0.13,0.14,0.09,-0.365384615385,1,0,0
25.06,24.88,123,43,0.21,0.15,0.07,0.06,-0.453846153846,1,0,0
25.06,24.81,123,44,1.66,0.21,0.12,0.09,-0.542307692308,1,0,0
25.06,24.88,123,44,0.57,0.17,0.21,0.13,-0.630769230769,1,0,0
25.06,24.88,123,44,0.14,0.17,0.15,0.06,-0.719230769231,1,0,0
25.06,24.88,122,44,0.24,0.05,0.1,0.05,-0.711538461538,0,0,0
25.06,24.81,122,44,0.25,0.07,0.07,0.05,-0.653846153846,1,0,0
25.06,24.81,123,44,0.23,0.07,0.08,0.06,-0.542307692308,1,0,0
25.06,24.88,123,45,0.13,0.06,0.06,0.06,-0.373076923077,0,0,0
25.13,24.88,123,44,0.13,0.04,0.06,0.06,-0.238461538462,0,0,0
25.06,24.88,123,44,0.15,0.05,0.06,0.06,-0.0923076923077,0,0,0
25.13,24.88,123,45,0.11,0.05,0.06,0.06,0.0615384615385,0,0,0
25.13,24.88,123,45,1.31,0.12,0.08,0.07,0.319230769231,0,0,0
25.13,24.88,124,45,0.11,0.12,0.06,0.06,0.334615384615,0,0,0
25.13,24.88,123,45,1.57,0.08,0.07,0.14,0.388461538462,1,0,0
25.13,24.88,123,44,0.21,0.19,0.17,0.07,0.480769230769,1,0,0
25.13,24.88,123,44,0.44,0.13,0.17,0.09,0.607692307692,1,0,0
25.13,24.88,123,44,0.46,0.14,0.16,0.07,0.719230769231,1,0,0
25.13,24.88,123,45,0.98,0.25,0.19,0.16,0.769230769231,1,0,0
25.19,24.88,123,44,0.15,0.13,0.23,0.06,0.807692307692,0,0,0
25.19,24.88,123,45,0.08,0.08,0.07,0.06,0.788461538462,0,0,0
25.19,24.88,123,44,0.09,0.05,0.07,0.08,0.853846153846,1,0,0
25.19,24.88,123,44,0.37,0.16,0.18,0.05,0.903846153846,0,0,0
25.19,24.88,122,44,0.08,0.06,0.06,0.06,0.892307692308,0,0,0
25.19,24.88,122,44,0.93,0.05,0.06,0.14,0.915384615385,0,0,0
25.19,24.88,123,44,0.07,0.24,0.06,0.06,0.923076923077,0,0,0
25.19,24.94,123,44,0.07,0.05,0.05,0.06,0.961538461538,0,0,0
25.19,24.88,123,44,0.08,0.05,0.05,0.06,1.02692307692,0,0,0
25.19,24.94,123,43,0.08,0.05,0.06,0.06,1.11538461538,0,0,0
25.19,24.94,123,44,1.27,0.06,0.11,0.13,1.17692307692,0,0,0
25.19,24.94,123,45,0.08,0.26,0.21,0.07,1.21538461538,0,0,0
25.19,24.94,123,45,0.1,0.08,0.09,0.06,1.23461538462,0,0,0
25.19,24.94,123,45,0.46,0.16,0.21,0.11,1.23461538462,1,0,0
25.19,24.88,123,45,0.42,0.19,0.16,0.09,1.21538461538,0,0,0
25.19,24.94,124,46,0.17,0.05,0.06,0.06,1.17307692308,0,0,0
25.19,24.94,124,47,1.44,0.12,0.15,0.09,1.2,0,0,0
25.25,24.94,124,46,0.76,0.27,0.24,0.13,1.2,1,0,0
25.25,24.94,124,46,0.16,0.06,0.05,0.06,1.26923076923,0,0,0
25.25,24.94,124,46,0.09,0.05,0.06,0.06,1.21923076923,0,0,0
25.25,24.94,123,45,0.28,0.05,0.07,0.06,1.15,0,0,0
25.25,24.94,123,45,0.07,0.07,0.05,0.07,1.06538461538,0,0,0
25.25,24.94,124,46,0.28,0.12,0.11,0.08,1.01923076923,1,0,0
25.25,24.94,123,45,0.24,0.11,0.14,0.07,0.965384615385,0,0,0
25.25,24.94,123,45,0.93,0.14,0.12,0.08,0.946153846154,1,0,0
25.25,24.94,123,45,0.1,0.09,0.1,0.06,0.953846153846,0,0,0
25.25,24.94,123,45,0.68,0.12,0.11,0.1,0.842307692308,0,0,0
25.25,24.94,123,45,0.94,0.12,0.13,0.06,0.946153846154,0,0,0
25.25,24.94,123,45,0.12,0.05,0.06,0.07,0.976923076923,0,0,0
25.25,25.0,123,45,0.29,0.08,0.1,0.07,0.934615384615,0,0,0
25.25,24.94,124,47,0.83,0.05,0.06,0.08,0.869230769231,0,0,0
25.25,25.0,124,47,1.1,0.1,0.09,0.05,0.738461538462,1,0,0
25.25,25.0,124,46,0.83,0.1,0.11,0.1,0.688461538462,0,0,0
25.25,25.0,123,45,0.48,0.15,0.18,0.11,0.719230769231,1,0,0
25.31,25.0,123,46,0.65,0.08,0.11,0.07,0.830769230769,0,0,0
25.31,25.0,123,45,0.4,0.06,0.08,0.06,0.926923076923,0,0,0
25.31,25.0,124,45,0.49,0.06,0.07,0.07,0.957692307692,0,0,0
25.31,25.0,124,45,0.13,0.1,0.09,0.06,0.969230769231,0,0,0
25.31,25.0,124,46,0.35,0.05,0.05,0.11,0.915384615385,0,0,0
25.31,25.0,124,48,0.17,0.1,0.14,0.06,0.846153846154,0,0,0
25.31,25.0,124,49,1.85,0.19,0.15,0.12,0.857692307692,0,0,0
25.31,25.0,124,49,0.28,0.08,0.08,0.07,0.903846153846,1,0,0
25.31,25.0,123,49,0.36,0.09,0.09,0.09,0.984615384615,1,0,0
25.31,25.25,123,46,0.48,0.31,0.53,0.1,1.1,1,1,0
25.31,25.63,124,46,0.51,0.55,0.17,0.12,1.10384615385,1,1,0
25.38,25.44,150,49,0.46,0.46,0.21,0.11,1.08846153846,1,1,1
25.38,25.44,153,49,0.76,0.74,0.15,0.14,1.00384615385,1,1,1
25.38,25.44,155,49,1.77,1.08,0.2,0.08,0.896153846154,1,1,1
25.38,25.44,156,50,0.8,0.29,0.1,0.09,0.719230769231,0,1,1
25.38,25.38,157,53,0.73,0.24,0.1,0.1,0.623076923077,0,1,1
25.38,25.38,157,54,1.14,0.33,0.23,0.17,0.611538461538,0,1,1
25.38,25.44,157,54,0.58,0.56,0.25,0.16,0.538461538462,0,1,1
25.38,25.44,158,54,0.71,0.68,0.27,0.23,0.646153846154,1,0,1
25.38,25.44,157,53,0.44,0.63,0.25,0.1,0.696153846154,1,0,1
25.38,25.31,157,53,0.23,0.32,0.13,0.11,0.688461538462,0,0,1
25.38,25.38,157,53,2.79,0.41,0.2,0.24,0.623076923077,1,0,1
25.38,25.38,157,53,0.54,0.55,0.21,0.18,0.45,1,0,1
25.38,25.44,157,54,2.49,0.67,0.2,0.12,0.361538461538,1,0,1
25.44,25.44,157,54,0.47,0.25,0.14,0.11,0.311538461538,1,0,1
25.44,25.38,157,54,3.51,0.38,0.22,0.19,0.303846153846,1,0,1
25.44,25.38,156,54,0.73,0.81,0.41,0.17,0.384615384615,1,0,1
25.44,25.44,157,54,0.63,0.42,0.21,0.15,0.453846153846,0,0,1
25.44,25.5,155,53,1.14,0.56,0.32,0.14,0.65,1,1,1
25.44,25.56,155,53,1.02,0.51,0.17,0.17,0.819230769231,1,1,1
25.44,25.5,155,54,0.63,0.36,0.18,0.13,0.957692307692,0,1,1
25.44,25.56,155,54,1.33,0.78,0.18,0.11,1.16153846154,1,1,1
25.44,25.56,155,54,0.17,0.35,0.11,0.07,1.38076923077,0,1,1
25.44,25.56,155,55,0.43,0.36,0.21,0.11,1.70769230769,1,1,1
25.5,25.56,155,55,1.87,0.56,0.23,0.14,1.99615384615,1,1,1
25.5,25.56,155,54,0.73,1.15,0.24,0.17,2.24615384615,0,0,1
25.44,25.56,155,54,1.53,1.24,0.36,0.27,2.45769230769,1,0,1
25.44,25.56,155,54,2.95,1.27,0.25,0.17,2.72307692308,1,1,1
25.5,25.56,155,54,1.78,0.63,0.18,0.08,2.94230769231,1,0,1
25.5,25.56,155,54,0.08,0.35,0.07,0.28,3.11153846154,0,0,1
25.44,25.63,155,54,0.45,2.12,0.34,0.06,3.22692307692,1,0,1
25.5,25.63,155,55,2.01,0.32,0.11,0.09,3.33846153846,0,0,1
25.5,25.63,155,55,0.33,0.38,0.1,0.09,3.44615384615,0,1,1
25.5,25.63,155,55,0.5,0.49,0.14,0.11,3.59615384615,1,1,1
25.5,25.63,155,56,1.02,0.29,0.16,0.13,3.73846153846,1,1,1
25.5,25.56,155,55,0.49,0.23,0.19,0.15,3.86538461538,1,1,1
25.5,25.63,155,56,0.29,0.51,0.19,0.09,3.92307692308,1,0,1
25.5,25.63,155,56,0.33,0.19,0.11,0.13,3.90769230769,1,0,1
25.56,25.63,155,56,0.15,0.26,0.22,0.07,3.86538461538,1,0,1
25.56,25.69,155,56,0.63,0.15,0.09,0.06,3.75,0,0,1
25.56,25.69,155,56,0.08,0.14,0.06,0.06,3.60769230769,0,0,1
25.5,25.69,155,56,0.17,0.14,0.15,0.07,3.48846153846,0,0,1
25.56,25.69,155,56,1.81,0.28,0.06,0.1,3.3,0,1,1
25.56,25.69,155,56,0.63,0.42,0.15,0.13,3.23846153846,1,1,1
25.56,25.69,155,57,0.68,0.82,0.19,0.12,3.16538461538,1,0,1
25.56,25.75,155,57,0.32,0.43,0.16,0.11,3.03461538462,1,1,1
25.56,25.75,155,57,1.16,0.27,0.09,0.07,2.89615384615,1,1,1
25.56,25.75,155,57,0.45,0.17,0.13,0.14,2.8,1,1,0
25.56,25.69,155,56,0.31,0.5,0.27,0.06,2.75,1,0,0
25.56,25.75,155,56,0.5,0.1,0.11,0.08,2.65384615385,1,0,1
25.56,25.69,155,58,1.33,1.54,0.42,0.2,2.51153846154,1,1,1
25.56,25.75,155,58,0.54,0.78,0.29,0.21,2.36923076923,1,1,1
25.56,25.75,155,58,0.41,1.05,0.29,0.17,2.32307692308,1,1,1
25.56,25.69,151,58,2.12,1.03,0.16,0.46,2.23076923077,1,1,1
25.56,25.94,155,58,0.44,3.44,0.67,0.36,2.14230769231,1,1,1
25.56,26.38,156,58,0.92,1.27,0.65,0.83,2.10384615385,1,1,1
25.56,26.81,155,57,0.37,1.96,0.98,0.11,2.01538461538,1,1,1
25.56,26.81,155,56,0.55,0.9,0.23,0.32,1.97307692308,1,1,1
25.56,27.0,155,57,0.44,0.6,0.49,0.19,1.97692307692,1,1,1
25.56,26.94,155,56,0.43,1.03,0.22,0.15,1.93461538462,1,1,1
25.56,27.19,156,57,0.37,0.1,0.22,0.06,1.99615384615,0,0,1
25.56,27.25,156,58,0.22,0.06,0.06,0.06,2.01923076923,0,0,1
25.56,27.44,156,58,0.1,0.05,0.06,0.06,2.14615384615,0,0,1
25.56,27.5,157,58,0.09,0.05,0.05,0.06,2.23076923077,0,0,1
25.56,27.56,157,58,0.09,0.07,0.08,0.07,2.22692307692,0,0,1
25.56,27.75,156,58,0.7,0.1,0.08,0.09,2.32692307692,1,0,1
25.56,27.94,157,59,1.93,0.15,0.11,0.06,2.29230769231,1,0,1
25.56,27.69,157,59,0.15,0.12,0.06,0.08,2.22307692308,0,0,1
25.56,27.5,157,59,0.15,0.6,0.09,0.06,2.12307692308,1,0,1
25.56,27.44,156,59,0.26,0.1,0.06,0.09,1.99615384615,1,0,1
25.56,27.56,157,59,1.32,0.29,0.08,0.08,1.84230769231,1,0,1
25.56,27.38,157,59,0.25,0.3,0.15,0.15,1.66153846154,1,0,1
25.63,27.31,157,59,0.48,0.08,0.08,0.07,1.55,1,0,1
25.63,27.31,157,59,0.88,0.12,0.08,0.11,1.41153846154,1,0,1
25.63,27.38,157,59,0.86,0.06,0.29,0.17,1.24615384615,0,0,1
25.63,27.38,157,59,0.07,0.21,0.2,0.06,1.1,1,0,1
25.63,27.44,157,59,0.07,0.05,0.05,0.06,1.06538461538,0,0,1
