n_features,Combination,score,accuracy,accuracy_top_20pc,XGB_params,SVM_params,split_size
4,"('XGBClassifier',)",6600.0,0.608,0.74,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6900.0,0.648,0.77,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6900.0,0.65,0.77,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6150.0,0.635,0.695,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6650.0,0.654,0.745,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6700.0,0.652,0.75,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5950.0,0.599,0.675,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6600.0,0.65,0.74,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6550.0,0.645,0.735,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6000.0,0.585,0.68,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
