@relation fri_c0_1000_25

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute binaryClass {P,N}

@data
0.843376,1.128392,-1.684857,1.017291,0.979971,0.425793,0.916014,-0.085464,1.106246,0.161324,-1.600144,-1.462845,0.755871,-1.72161,-1.583241,-0.405625,-1.205384,0.116404,-0.567448,-0.8302,-0.664793,0.06631,-1.056692,-0.549913,-0.421973,N
1.590579,1.289423,-1.67809,-1.342499,-1.409565,-1.726612,-0.672998,-1.014029,-0.172871,-0.907843,-1.144949,-0.891225,0.070015,1.100834,-0.221578,1.624279,1.315067,0.24833,0.412886,0.997774,1.680128,-0.440974,0.983041,0.613789,1.642366,P
0.844264,0.355725,1.220812,0.807087,-0.36212,-1.297158,-1.749432,0.841551,-1.14325,-1.531778,-0.259917,0.489449,-1.09135,1.530508,0.486837,1.703588,-0.134607,1.310926,1.70716,0.350385,-0.306127,0.208763,-0.122081,0.611692,0.43393,N
1.360307,-0.579731,-0.092948,0.294874,-0.39598,-0.718664,-0.268425,-1.535545,-0.052444,-0.917666,1.470535,-0.311302,1.019298,0.471357,-1.021258,-1.35521,1.296534,0.740398,1.034621,0.642644,-1.230817,-0.311849,-0.380461,-0.001622,0.911441,N
-0.769061,-0.882539,-0.016248,0.800169,-0.702862,0.05055,-0.512756,1.457876,-0.727585,0.24472,0.656366,1.559688,0.023397,1.227153,0.616079,-0.219164,-0.045251,-0.402474,1.060437,0.147161,-0.080521,-1.579533,0.248287,-1.350363,1.287686,P
1.30209,-1.309305,-1.435534,0.658449,-1.372529,-0.88623,-1.5304,0.98545,-0.24841,0.295831,-1.211455,1.079166,0.751374,0.921883,-0.529965,1.51901,0.128473,1.187834,1.477569,1.265052,0.729758,0.011482,1.444527,-0.064246,-0.885658,N
-0.332958,-0.800242,-1.118352,1.71297,-0.37716,1.68996,-0.533999,-1.266594,0.260617,0.500688,0.963974,-0.158212,-1.159925,0.253868,-0.532865,-1.655001,-1.346898,-1.036187,-0.403602,1.06167,-1.186875,-1.665135,-1.472387,1.331671,0.654409,N
-0.04765,0.099573,0.169216,1.487242,0.476521,1.397969,1.166104,0.887089,-0.475709,-0.497341,-0.906019,1.054515,-0.835444,-1.184671,0.954308,0.013586,-0.94036,-0.764327,-0.364443,-0.802814,1.752593,-0.68451,0.577507,-0.074888,-0.935163,N
-0.699706,1.396134,-1.670674,0.254615,0.632767,-0.352677,-0.850354,-0.026051,0.886205,1.007135,-1.600253,0.99189,0.324187,0.610033,0.437726,-0.055903,0.294698,0.875296,-0.503993,0.816436,-0.267021,-0.285728,-0.758969,-1.065199,1.058553,N
-1.538357,1.181212,-1.123406,-0.575399,-1.414934,0.627774,0.886434,-0.128056,-0.002294,-1.053954,0.377933,-1.006457,1.693676,-0.936186,0.62669,0.026471,-0.72792,0.742532,-0.672839,-1.201797,0.044068,-1.75747,0.598971,-0.286455,-1.286629,P
